"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20","Perf(%)",
SQ,198.08,13.04,27088300,175.39,173.69,172.97,161.32,141.13,134.65,128.85,176.61,163.36,137.27,13,14,-0.58,-0.07,-7.07,
PTON,125.46,-0.92,24201800,120.63,120.17,118.70,102.75,84.40,79.13,74.52,123.67,99.50,78.25,16,17,0.12,0.56,-20.29,
TSLA,429.95,-1.86,21706000,422.68,421.50,421.71,398.22,341.32,321.35,302.82,426.20,418.05,329.74,7,9,-1.01,-0.44,-2.02,
ROKU,253.36,12.57,16526900,224.93,221.47,217.65,195.11,172.51,166.48,161.22,221.87,189.98,161.25,16,18,0.26,0.78,-12.41,
JKS,65.33,-9.70,14303600,64.30,63.77,61.57,47.15,36.49,34.12,32.22,65.84,41.66,30.20,17,19,0.59,0.90,-4.35,
NVDA,582.48,2.84,9583700,547.87,541.59,538.37,512.59,462.05,444.01,427.01,541.62,523.45,457.68,13,14,-1.17,-0.38,-6.40,
AMZN,3311.37,-0.32,4647300,3218.18,3205.56,3203.67,3161.53,2986.39,2913.05,2841.64,3234.12,3220.17,3027.92,15,15,-5.06,-2.19,-5.06,
TTD,819.34,26.58,4464500,663.60,639.60,618.41,547.58,479.17,458.45,439.66,623.27,530.50,467.56,20,20,1.67,2.92,-7.08,
NFLX,514.73,0.19,4236300,501.38,500.75,502.55,500.00,480.10,471.22,462.39,508.35,504.58,486.01,12,10,-1.98,-1.13,-8.59,
ENPH,122.53,1.89,3382100,111.58,108.65,105.27,90.47,76.57,72.49,68.78,107.20,87.34,71.87,15,15,0.35,0.65,-4.45,
ETSY,146.28,1.84,2591100,138.36,137.70,137.01,128.75,114.76,109.93,105.49,140.55,128.79,114.49,13,11,-0.23,0.15,-17.15,
FVRR,189.00,7.67,2472500,167.96,164.36,161.08,141.24,115.89,108.15,101.31,164.76,140.26,109.51,15,16,0.02,0.49,-18.48,
COST,385.66,0.11,1950200,376.68,374.23,371.47,357.57,342.49,337.92,333.65,374.50,356.44,336.06,14,13,0.32,0.59,-5.36,
