"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20",
ROKU,221.91,-12.41,11624700,224.17,221.54,218.06,195.99,173.32,167.24,161.93,221.88,191.23,162.13,15,17,0.15,0.67,
AMZN,3143.74,-5.06,7167100,3199.57,3196.05,3197.96,3160.94,2988.99,2916.23,2845.19,3219.16,3220.10,3033.30,15,15,-5.65,-2.83,
JKS,62.49,-4.35,5321400,63.85,63.57,61.66,47.65,36.92,34.51,32.58,65.99,42.34,30.58,16,18,0.42,0.77,
FVRR,154.07,-18.48,4999600,164.49,162.78,160.41,141.66,116.52,108.79,101.93,164.15,141.03,110.24,14,15,-0.09,0.37,
COST,365.00,-5.36,4367200,373.76,372.81,370.85,357.82,342.86,338.30,334.02,373.92,356.92,336.56,14,13,0.21,0.50,
TMO,484.99,-8.09,4191300,498.48,491.93,482.76,451.46,419.56,409.66,400.59,481.45,447.47,411.68,20,19,2.06,1.97,
ENPH,117.08,-4.45,3376200,112.96,109.94,106.39,91.34,77.24,73.10,69.35,107.83,88.07,72.31,14,15,0.33,0.60,
GOOGL,1761.42,0.10,2670000,1709.69,1671.05,1631.89,1561.64,1509.58,1492.12,1475.50,1616.34,1557.74,1514.62,16,14,7.48,6.08,
NOW,501.96,-6.21,2397400,510.31,507.82,504.89,482.93,448.25,436.04,424.42,509.13,484.02,447.53,15,16,-0.06,0.47,
GOOG,1763.00,0.07,2265300,1712.57,1674.72,1636.11,1565.73,1512.66,1494.89,1477.98,1621.26,1563.02,1516.45,16,14,7.51,6.12,
LRCX,416.28,1.68,1934300,389.38,378.39,369.24,351.54,335.19,329.23,323.35,367.37,346.26,336.68,14,14,0.53,0.73,
TTD,761.37,-7.08,1628700,688.05,658.34,632.03,554.59,483.84,462.63,443.44,630.00,535.43,471.43,20,20,1.96,2.98,
MYOK,224.41,0.00,1452900,223.98,222.49,216.25,176.77,143.72,135.25,128.03,222.97,163.51,130.77,20,20,1.35,2.07,
ISRG,773.45,5.39,1127900,726.68,719.95,717.27,700.76,666.63,655.37,645.22,722.16,709.64,660.89,13,13,-1.43,-0.56,
SOXL,338.93,-3.82,1110100,312.66,300.81,292.19,266.89,241.96,235.45,229.93,293.29,265.94,231.58,15,16,-0.48,0.23,
MELI,1330.72,-10.44,961700,1347.75,1320.81,1287.32,1185.21,1073.77,1035.92,1000.57,1296.64,1174.83,1080.06,20,20,7.12,7.45,
FNGU,199.48,-9.31,892200,203.36,202.30,201.28,186.59,159.54,150.57,142.42,205.31,194.28,153.53,14,13,-0.34,0.12,
BLK,666.02,1.70,870000,647.19,638.59,629.13,600.76,575.07,566.90,559.35,634.68,593.81,575.84,20,18,1.23,1.71,
MPWR,316.84,-11.29,826700,331.55,326.74,319.41,292.77,266.62,258.30,250.62,320.84,286.43,263.35,20,20,1.42,1.61,
IDXX,436.45,-8.71,822900,451.17,444.48,434.61,403.51,372.97,363.51,354.94,434.47,398.57,368.78,20,19,2.36,2.24,
SIVB,332.04,5.96,750100,310.50,302.19,292.50,266.70,248.05,243.71,240.38,289.59,262.58,241.46,17,16,2.08,1.88,
PAYC,405.05,4.36,703200,385.51,380.64,372.68,339.65,316.05,309.59,303.62,378.89,325.35,313.74,20,20,1.56,2.14,
DECK,254.76,-5.75,656300,261.48,259.23,254.97,235.53,216.82,211.40,206.57,257.18,229.84,215.04,18,20,0.86,1.09,
MLM,261.43,2.05,646500,260.84,260.46,258.09,242.36,231.28,229.54,228.45,259.71,235.94,223.35,14,16,0.38,0.70,
PCTY,204.49,8.01,644400,193.63,191.25,187.49,169.38,153.92,149.73,145.98,190.20,163.71,150.00,17,19,0.63,0.93,
MRTX,227.22,-1.50,512500,224.97,217.92,208.35,178.06,153.59,147.09,141.48,205.95,172.49,143.79,20,20,2.07,1.90,
CMG,1278.13,-3.62,502800,1278.93,1278.24,1280.14,1253.67,1175.43,1146.04,1117.95,1296.48,1278.38,1184.03,14,14,-1.56,-0.33,
ZBRA,352.71,1.81,490000,329.87,318.31,307.08,285.38,271.40,267.16,263.18,303.03,279.17,272.88,18,15,1.80,1.62,
KOD,113.17,4.22,445500,103.99,98.92,92.14,73.85,64.69,62.48,60.43,90.91,66.80,60.69,16,13,1.73,1.56,
DQ,209.49,-5.97,436300,205.89,201.30,194.63,161.73,131.38,123.12,115.99,201.15,153.19,118.46,18,20,0.68,1.42,
TYL,420.42,1.44,379000,407.11,401.95,395.21,373.00,357.22,352.06,346.89,398.06,362.46,357.95,20,20,1.19,1.50,
MKTX,534.84,-7.66,353800,558.05,555.19,547.03,518.70,495.59,486.80,477.86,552.67,503.78,505.96,20,20,2.57,2.76,
BIO,579.96,-9.87,294200,605.15,596.67,584.15,546.76,512.29,500.73,489.74,581.40,537.20,510.34,20,20,2.90,2.70,
MORN,213.29,2.35,282300,203.79,198.32,191.95,175.80,165.68,163.27,161.27,190.61,170.82,161.89,17,14,1.19,1.13,
SAM,949.60,-10.58,201800,1013.64,1011.60,995.89,910.30,798.33,762.51,729.99,999.13,914.28,773.28,20,20,6.65,6.06,
MTD,1179.58,-0.13,186000,1113.19,1086.32,1062.74,1001.57,937.34,918.02,900.78,1052.96,1001.36,922.12,20,19,3.04,2.82,
