"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20",
ROKU,221.91,-12.41,11624700,224.17,221.54,218.06,195.99,173.32,167.24,161.93,221.88,191.23,162.13,14,15,0.15,0.67,
AMZN,3143.74,-5.06,7167100,3199.57,3196.05,3197.96,3160.94,2988.99,2916.23,2845.19,3219.16,3220.10,3033.30,15,13,-5.65,-2.83,
TMO,484.99,-8.09,4191300,498.48,491.93,482.76,451.46,419.56,409.66,400.59,481.45,447.47,411.68,18,16,2.06,1.97,
GOOGL,1761.42,0.10,2670000,1709.69,1671.05,1631.89,1561.64,1509.58,1492.12,1475.50,1616.34,1557.74,1514.62,16,13,7.48,6.08,
NOW,501.96,-6.21,2397400,510.31,507.82,504.89,482.93,448.25,436.04,424.42,509.13,484.02,447.53,13,14,-0.06,0.47,
GOOG,1763.00,0.07,2265300,1712.57,1674.72,1636.11,1565.73,1512.66,1494.89,1477.98,1621.26,1563.02,1516.45,16,13,7.51,6.12,
TTD,761.37,-7.08,1628700,688.05,658.34,632.03,554.59,483.84,462.63,443.44,630.00,535.43,471.43,20,20,1.96,2.98,
MYOK,224.41,0.00,1452900,223.98,222.49,216.25,176.77,143.72,135.25,128.03,222.97,163.51,130.77,19,20,1.35,2.07,
SOXL,338.93,-3.82,1110100,312.66,300.81,292.19,266.89,241.96,235.45,229.93,293.29,265.94,231.58,14,14,-0.48,0.23,
MELI,1330.72,-10.44,961700,1347.75,1320.81,1287.32,1185.21,1073.77,1035.92,1000.57,1296.64,1174.83,1080.06,20,20,7.12,7.45,
BLK,666.02,1.70,870000,647.19,638.59,629.13,600.76,575.07,566.90,559.35,634.68,593.81,575.84,17,17,1.23,1.71,
MPWR,316.84,-11.29,826700,331.55,326.74,319.41,292.77,266.62,258.30,250.62,320.84,286.43,263.35,17,19,1.42,1.61,
IDXX,436.45,-8.71,822900,451.17,444.48,434.61,403.51,372.97,363.51,354.94,434.47,398.57,368.78,19,16,2.36,2.24,
PAYC,405.05,4.36,703200,385.51,380.64,372.68,339.65,316.05,309.59,303.62,378.89,325.35,313.74,20,20,1.56,2.14,
DECK,254.76,-5.75,656300,261.48,259.23,254.97,235.53,216.82,211.40,206.57,257.18,229.84,215.04,14,13,0.86,1.09,
MRTX,227.22,-1.50,512500,224.97,217.92,208.35,178.06,153.59,147.09,141.48,205.95,172.49,143.79,18,15,2.07,1.90,
DQ,209.49,-5.97,436300,205.89,201.30,194.63,161.73,131.38,123.12,115.99,201.15,153.19,118.46,16,19,0.68,1.42,
TYL,420.42,1.44,379000,407.11,401.95,395.21,373.00,357.22,352.06,346.89,398.06,362.46,357.95,17,17,1.19,1.50,
MKTX,534.84,-7.66,353800,558.05,555.19,547.03,518.70,495.59,486.80,477.86,552.67,503.78,505.96,20,19,2.57,2.76,
BIO,579.96,-9.87,294200,605.15,596.67,584.15,546.76,512.29,500.73,489.74,581.40,537.20,510.34,20,18,2.90,2.70,
SAM,949.60,-10.58,201800,1013.64,1011.60,995.89,910.30,798.33,762.51,729.99,999.13,914.28,773.28,20,20,6.65,6.06,
MTD,1179.58,-0.13,186000,1113.19,1086.32,1062.74,1001.57,937.34,918.02,900.78,1052.96,1001.36,922.12,18,17,3.04,2.82,
