"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20","Perf(%)",
INTC,45.39,-0.63,36233700,45.62,46.55,47.78,50.21,52.29,52.80,53.18,49.20,49.89,53.76,0,0,-0.39,-0.25,0.46,
MRO,4.13,-3.73,33393300,4.16,4.16,4.18,4.55,5.23,5.55,5.90,4.16,4.57,5.28,0,0,-0.0067,-0.01,23.24,
MSFT,223.72,0.19,25231900,215.33,213.61,212.87,210.57,203.38,200.13,196.77,214.23,212.35,205.98,0,0,-0.24,-0.08,-2.38,
PFE,36.40,0.03,22647700,36.47,36.56,36.65,36.74,36.64,36.64,36.68,36.86,36.94,36.43,0,0,-0.0081,0.0016,7.69,
OXY,10.01,-4.39,21645300,9.85,9.81,9.92,11.32,14.17,15.52,17.01,9.89,11.07,14.03,0,0,-0.06,-0.06,22.18,
KEY,12.82,-2.58,21146200,12.99,12.97,12.91,12.66,12.77,12.92,13.12,12.95,12.58,12.49,0,0,0.01,0.02,18.56,
GM,37.47,0.89,18089200,36.02,35.48,34.70,32.04,30.34,30.13,30.08,34.74,31.73,29.15,0,0,0.24,0.22,3.98,
HBI,12.85,-3.60,14480000,15.08,15.71,16.08,15.77,14.77,14.53,14.36,16.61,16.09,14.29,0,0,-0.01,0.01,-0.31,
KMI,11.48,-3.53,14255400,11.86,12.03,12.22,12.92,13.86,14.21,14.55,12.36,12.95,14.04,0,0,-0.04,-0.03,7.14,
NCLH,16.97,-1.62,14037000,16.67,16.66,16.70,16.69,18.22,19.36,20.68,16.69,16.77,16.62,0,0,-0.04,-0.03,26.75,
MU,55.16,1.06,13922600,52.80,52.27,51.73,50.09,49.30,49.12,48.95,52.09,48.77,49.23,0,0,0.12,0.13,1.45,
JPM,102.96,-1.33,12552800,101.71,101.13,100.63,99.64,100.33,101.02,101.80,100.82,99.54,98.95,0,0,0.04,0.07,13.54,
HST,10.49,-4.03,12549800,10.84,10.89,10.95,11.10,11.49,11.71,11.97,10.97,11.13,11.33,0,0,-0.02,-0.02,30.03,
LUMN,9.09,-2.05,12335400,9.05,9.13,9.31,9.85,10.20,10.33,10.47,9.35,10.20,10.15,0,0,-0.06,-0.05,1.76,
NLOK,20.39,-7.40,12282600,21.15,21.08,21.06,21.25,21.29,21.33,21.37,21.00,21.68,21.23,0,0,-0.0097,-0.02,-4.56,
HAL,12.28,-2.31,10871300,12.49,12.49,12.56,13.14,13.56,13.80,14.12,12.55,13.77,13.63,0,0,-0.0034,-0.02,17.10,
RF,13.05,-4.61,10748100,13.36,13.27,13.07,12.34,12.06,12.10,12.19,13.07,12.13,11.70,0,0,0.06,0.06,16.63,
HPE,9.19,-0.97,10262100,9.06,9.08,9.16,9.39,9.80,10.01,10.24,9.24,9.39,9.62,0,0,-0.04,-0.03,5.88,
NVDA,582.48,2.84,9583700,547.87,541.59,538.37,512.59,462.05,444.01,427.01,541.62,523.45,457.68,12,13,-1.17,-0.38,-6.40,
MYL,14.65,-3.24,9524500,14.91,14.96,15.04,15.38,15.88,16.10,16.35,15.18,15.41,15.96,0,0,-0.03,-0.02,3.21,
KO,49.45,0.02,9294900,49.20,49.26,49.38,49.17,48.89,48.94,49.03,49.61,49.45,48.04,0,0,-0.05,-0.03,6.31,
HBAN,10.15,-3.97,8503300,10.37,10.28,10.14,9.79,9.80,9.91,10.05,10.08,9.70,9.54,0,0,0.04,0.04,17.73,
PYPL,202.73,-0.89,8075100,196.52,196.32,196.43,192.45,179.87,174.87,170.06,199.14,195.24,183.48,0,0,-0.14,0.06,-8.88,
MO,37.27,-0.11,8016300,37.36,37.60,38.06,39.54,40.36,40.67,41.00,38.25,40.48,40.52,0,0,-0.15,-0.12,2.41,
ORCL,56.80,0.25,7510400,56.78,57.22,57.79,57.90,56.76,56.41,56.09,58.42,58.26,56.50,0,0,-0.20,-0.13,0.07,
KR,33.17,1.38,7473800,32.66,32.74,32.97,33.59,33.31,33.05,32.75,33.11,34.12,33.81,0,0,-0.10,-0.08,-6.51,
QCOM,145.01,-0.28,7278500,134.43,131.37,128.70,119.71,109.66,106.71,104.08,128.82,120.16,106.21,0,0,0.30,0.37,-1.66,
MPC,31.58,-0.79,7181600,31.01,30.52,30.24,31.46,33.67,34.64,35.69,29.82,31.66,34.47,0,0,0.0031,-0.03,15.48,
MGM,22.02,0.82,7146900,21.59,21.52,21.52,21.17,20.73,20.82,20.99,21.43,21.91,19.86,0,0,-0.0046,-0.01,14.90,
MRK,80.36,-0.12,6627400,78.97,78.72,79.01,80.45,80.77,80.85,80.91,78.68,82.09,80.49,0,0,-0.19,-0.19,0.17,
PBCT,10.49,-4.72,6543000,10.84,10.84,10.80,10.79,11.23,11.45,11.68,10.78,10.62,11.11,0,0,0.02,0.02,21.73,
HPQ,19.25,0.63,6515700,18.71,18.67,18.74,18.67,18.37,18.33,18.34,18.88,18.90,18.03,0,0,-0.06,-0.04,2.49,
MS,51.70,-0.96,6453900,50.88,50.52,50.26,49.82,48.81,48.46,48.15,50.50,50.27,49.34,0,0,0.03,0.04,8.36,
LLY,142.74,-1.91,6229800,140.17,139.82,140.99,146.03,147.65,147.17,146.36,141.25,146.78,151.96,0,0,-0.79,-0.63,-0.29,
NEE,75.72,1.30,6076100,74.89,74.82,74.51,72.24,69.30,68.35,67.44,75.10,72.12,68.49,0,0,0.07,0.11,-0.28,
MET,40.48,-1.58,6063800,39.65,39.34,39.12,38.56,38.48,38.67,38.93,39.20,38.50,38.00,0,0,0.0048,0.02,11.02,
LUV,40.01,-2.53,5993300,39.76,39.72,39.59,38.38,37.93,38.25,38.71,39.81,38.55,36.16,0,0,0.06,0.07,9.70,
OKE,26.89,-5.78,5948400,28.45,28.72,28.70,28.64,31.44,33.04,34.76,29.18,27.73,30.33,0,0,0.07,0.08,16.59,
JNJ,142.25,1.78,5942500,140.29,141.01,142.35,145.26,145.52,145.27,144.93,143.25,147.06,146.31,0,0,-0.48,-0.36,2.69,
JCI,43.74,0.60,5828200,43.18,43.06,42.87,41.47,39.58,39.15,38.84,43.00,41.91,38.59,0,0,0.04,0.05,1.55,
PM,70.45,-0.63,5465400,71.33,72.11,73.24,75.44,76.02,76.23,76.46,74.16,76.95,75.55,0,0,-0.36,-0.27,1.67,
IBM,114.04,-0.64,5249200,113.34,114.06,115.68,119.61,121.74,122.46,123.18,116.83,120.98,122.27,0,0,-0.74,-0.55,1.31,
KIM,10.26,-3.12,5107300,10.57,10.69,10.87,11.37,11.96,12.25,12.56,10.87,11.55,11.94,0,0,-0.05,-0.05,32.26,
LVS,52.98,0.72,5059500,50.55,49.59,48.80,48.10,48.69,49.16,49.68,47.93,48.44,47.97,0,0,0.17,0.10,9.23,
IVZ,13.88,-3.81,4967900,13.86,13.76,13.51,12.35,11.83,11.89,12.03,13.83,11.91,11.04,0,0,0.06,0.08,6.92,
PG,143.23,0.60,4702300,141.22,141.00,140.86,138.05,133.14,131.63,130.24,141.72,139.30,130.82,0,0,-0.07,0.01,-3.66,
NOV,9.00,-3.23,4675000,8.96,8.92,9.00,9.97,11.30,11.85,12.45,8.85,10.29,11.35,0,0,-0.02,-0.04,27.33,
NEM,68.14,0.43,4664700,65.56,64.38,63.66,63.44,61.78,60.78,59.70,62.85,64.16,62.96,0,0,0.0086,-0.03,-3.13,
MDLZ,55.84,0.36,4527800,55.08,55.21,55.58,55.95,55.25,55.00,54.77,56.09,56.81,54.80,0,0,-0.16,-0.11,0.14,
MOS,16.89,-1.63,4318700,17.54,17.89,18.17,17.82,16.89,16.77,16.77,18.49,18.44,15.99,0,0,-0.06,-0.03,0.65,
RCL,58.57,-2.66,4250900,58.09,58.47,59.54,60.87,61.52,62.78,64.43,59.40,63.79,58.57,0,0,-0.47,-0.38,28.79,
NFLX,514.73,0.19,4236300,501.38,500.75,502.55,500.00,480.10,471.22,462.39,508.35,504.58,486.01,10,7,-1.98,-1.13,-8.59,
MAR,103.89,2.95,4168000,98.52,97.47,97.09,96.57,97.18,98.16,99.34,96.80,98.05,94.79,0,0,-0.13,-0.10,13.87,
KHC,31.54,-0.50,4069300,31.41,31.29,31.24,31.65,31.61,31.52,31.47,31.40,31.99,32.45,0,0,-0.01,-0.0061,-2.92,
HFC,17.57,-5.89,4067900,18.48,18.75,19.16,21.38,24.58,25.82,27.08,19.29,21.45,25.41,0,0,-0.11,-0.10,28.40,
PEAK,28.08,-2.02,4018100,28.14,28.00,27.90,27.69,27.76,27.91,28.10,27.76,27.73,27.38,0,0,-0.0084,-0.0051,3.67,
